lat, lon, stop_id, stop_name, usage
37.325184,-121.90052,901,Barack Obama Blvd & W San Carlos,0
37.324215,-121.900337,902,Barack Obama Blvd & W San Carlos,2
37.330288,-121.902687,904,Diridon Station (Caltrain Depot),86
37.331902,-121.899567,906,W Santa Clara & Delmas Ave,0
37.333908,-121.89518,908,W Santa Clara & Almaden Blvd,0
37.336311,-121.889877,910,E Santa Clara & S 1st,0
37.335377,-121.892365,912,W Santa Clara & S Market,1
37.33218,-121.89959,913,W Santa Clara & Delmas Ave,0
37.337299,-121.883209,914,E San Fernando & S 7th,26
37.325169,-121.90094,915,Barack Obama Blvd & Park Ave,4
37.165234,-122.163177,918,Big Basin Way & China Grade Rd,5
37.33379,-121.895737,920,W Santa Clara & Almaden Blvd,2
37.327213,-121.900436,923,Barack Obama Blvd & Park Ave,0
37.338436,-121.885567,924,E Santa Clara & S 6th,0
37.338409,-121.886139,925,E Santa Clara & N 5th,2
36.934383,-121.782814,1001,Airport Blvd & Airport Rd,0
36.934322,-121.783485,1002,Airport Blvd (Airport),1
36.931953,-121.787842,1005,Airport Blvd & Holm Rd,16
36.939846,-121.77655,1006,Airport Blvd (Freedom Centre),28
36.946316,-121.767708,1015,Amesti Rd & Green Valley Rd (Amesti School),0
36.956173,-121.781731,1020,Amesti Rd & Mann Ave,2
36.967934,-121.793793,1026,Amesti Rd & Bollinger Pl,0
36.939789,-121.791351,1034,Bowker Rd & Buena Vista Dr,0
36.941872,-121.790672,1035,Bowker Rd & Calabasas Rd,0
36.918427,-121.743027,1040,E Bronte Ave & Ester Way,1
36.988743,-121.806686,1044,Browns Valley Rd & Corralitos Rd,0
36.924629,-121.773865,1045,Clifford Ave (Clifford Manor),6
36.924191,-121.773895,1046,Clifford Ave & Lassen Way,4
36.926682,-121.772972,1047,Clifford Ave & Melrose Ave,0
36.927647,-121.7715,1049,Clifford Ave & Crescent Dr,2
36.929779,-121.768669,1051,Clifford Ave & Freedom Blvd,16
36.933037,-121.734009,1052,College Rd & Parker Dr,6
36.934174,-121.738052,1053,College Rd & Cutter Dr,2
36.935867,-121.742928,1054,College Rd & E Lake Ave,2
36.975407,-121.806442,1056,Corralitos Rd (Bradley Elementary),0
36.96804,-121.807327,1057,Corralitos Rd & Varni Rd,0
36.912575,-121.753555,1059,E Beach & Marchant,25
36.915508,-121.749451,1060,E Beach & Blackburn,0
36.916798,-121.747749,1061,E Beach & Beck,0
36.91856,-121.745316,1062,E Beach & Hushbeck Ave,1
36.913342,-121.756165,1064,E Lake & Sudden,0
36.924847,-121.746262,1069,E Lake & Martinelli (East Lake Village),1
36.925247,-121.745865,1070,E Lake & Martinelli (East Lake Village),0
36.916782,-121.760345,1077,Freedom Blvd & Brennan,3
36.920795,-121.760757,1078,Freedom Blvd & Stanford,3
36.929951,-121.767693,1080,Freedom Blvd & Atkinson Ln,2
36.931419,-121.769493,1081,Freedom Blvd & Sydney Ave,14
